Timestamp,Well_ID,Operation_Status,ROP_m_h,WOB_ton,Torque_kNm,Oil_Flow_bpd,Gas_Flow_mcfd,Pump_Frequency_Hz,Downtime_Code,Pump_Pressure_psi,Vibration_Level,Gamma_Ray_API,Comments
00:00:00,TP-123H,Produciendo,0,0,0,1205,852,55.1,0,1800,Bajo,45,"Produccion nominal"
01:00:00,TP-123H,Produciendo,0,0,0,1201,850,55.0,0,1805,Bajo,45,"Estable"
02:00:00,TP-123H,Produciendo,0,0,0,1198,849,55.0,0,1802,Bajo,45,"Leve fluctuacion a la baja"
03:00:00,TP-123H,Produciendo,0,0,0,1195,845,54.9,0,1810,Bajo,45,"Tendencia de declinacion observada"
04:00:00,TP-456V,Perforando,18.5,11,32,0,0,0,0,2500,Bajo,60,"Perforacion rapida en seccion blanda"
05:00:00,TP-456V,Perforando,18.2,11,33,0,0,0,0,2510,Bajo,62,"Parametros optimos"
06:00:00,TP-456V,Perforando,17.9,11.5,35,0,0,0,0,2550,Bajo,85,"Aumento en lectura de Rayos Gamma"
07:00:00,TP-456V,Perforando,12.1,12,39,0,0,0,0,2650,Medio,110,"Entrando en formacion dura (Lutitas). ROP cae, torque sube."
08:00:00,TP-456V,Perforando,10.5,12.5,43,0,0,0,0,2700,Medio,112,"Vibracion en aumento. Monitoreando."
09:00:00,TP-456V,Perforando,9.2,12.5,48,0,0,0,0,2800,Alto,115,"Alerta de 'stick-slip'. Vibracion alta. Torque maximo."
10:00:00,TP-456V,Inactivo,0,0,0,0,0,0,301,0,N/A,115,"Parada operativa para optimizar parametros de perforacion"
11:00:00,TP-456V,Perforando,11.5,11.5,41,0,0,0,0,2680,Medio,118,"Reinicio con parametros ajustados. WOB reducido, RPM aumentado."
12:00:00,TP-123H,Produciendo,0,0,0,1190,840,54.8,0,1815,Bajo,45,"Declinacion de produccion continua"
13:00:00,TP-789Z,Inactivo,0,0,0,0,0,0,404,0,N/A,0,"Esperando equipo de completacion"
14:00:00,TP-789Z,Produciendo,0,0,0,800,550,60,0,1900,Bajo,70,"Inicio de prueba de produccion"
15:00:00,TP-456V,Perforando,11.8,11.5,40,0,0,0,0,2650,Bajo,120,"Perforacion estabilizada con nuevos parametros"
16:00:00,TP-123H,Produciendo,0,0,0,1185,835,54.7,0,1820,Bajo,45,"Produccion 2% por debajo de lo esperado"
17:00:00,TP-789Z,Produciendo,0,0,0,805,554,60,0,1905,Bajo,70,"Pozo nuevo estabilizado"
18:00:00,TP-456V,Inactivo,0,0,0,0,0,0,500,0,N/A,122,"Fin de tramo. Preparando para cambiar trepano."
